category,project_name,passed,failed,errors,total
website,DailyHealthTips,8,2,0,10
website,FreelancerMarketplace,7,3,1,11
website,Headlinr,2,5,1,8
website,OfficeTaskFeedback,1,2,5,8
website,OnlineShoppingCenter,1,2,7,10
website,PersonalBlog,6,0,2,8
website,QuickSearch,0,2,7,9
website,RemoteJobBoard,7,2,0,9
website,BookWormSearch,0,4,4,8
website,CharitableGivingPlatform,7,3,0,10
website,CulturalCalendar,0,0,9,9
website,CulturalStoryteller,3,5,1,9
website,CultureFacts,3,5,1,9
website,DailyJournalApp,8,0,0,8
website,DigitalStorytellingPlatform,7,0,0,7
website,EcoFriendlyLivingTips,9,1,0,10
website,GreenLivingGuide,7,2,1,10
website,MedicalInfoTracker,3,1,1,5
website,MedicalTestResultTracker,6,2,1,9
website,MovieRecommendationSystem,0,0,9,9
website,NewsReader,3,1,2,6
website,NoteTakingApp,8,0,2,10
website,OnlineLibraryManagementSystem,2,2,4,8
website,OnlineVintageMarket,9,1,0,10
website,ParentingAdiviceForum,7,1,1,9
website,PeerTutoringNetwork,1,3,5,9
website,RecipeHub,2,1,7,10
